7708;0.0;4.0;0.0;7703;7665.0;7751.0;0
7745;2.0;61.0;6.0;7740;;;0
7837;0.0;4.0;0.0;7833;7794.0;7879.0;0
7964;0.0;0.0;0.0;7959;7921.0;8006.0;0
8000;2.0;61.0;6.0;7995;;;0
8038;2.0;62.0;6.0;8038;;;0
8091;0.0;4.0;0.0;8086;8048.0;8133.0;0
8218;0.0;4.0;0.0;8213;8175.0;8261.0;0
8255;2.0;61.0;6.0;8250;;;0
8348;0.0;4.0;0.0;8343;8304.0;8390.0;0
8385;2.0;61.0;6.0;8380;;;0
8424;2.0;62.0;6.0;8423;;;0
8475;0.0;0.0;0.0;8470;8432.0;8517.0;0
8512;2.0;61.0;6.0;8507;;;0
8536;2.0;63.0;6.0;8531;;;0
8602;0.0;4.0;0.0;8597;8559.0;8645.0;0
8637;2.0;61.0;6.0;8632;;;0
8732;0.0;1.0;0.0;8727;8688.0;8774.0;0
8768;2.0;61.0;6.0;8763;;;0
8860;0.0;0.0;0.0;8855;8817.0;8902.0;0
8895;2.0;61.0;6.0;8890;;;0
8988;0.0;1.0;0.0;8983;8945.0;9031.0;0
9024;2.0;61.0;6.0;9019;;;0
9117;0.0;1.0;0.0;9112;9074.0;9159.0;0
9153;2.0;61.0;6.0;9148;;;0
9243;0.0;4.0;0.0;9238;9201.0;9285.0;0
9279;2.0;61.0;6.0;9274;;;0
9320;2.0;62.0;6.0;9320;;;0
9371;0.0;0.0;0.0;9366;9328.0;9413.0;0
9407;2.0;61.0;6.0;9402;;;0
9499;0.0;0.0;0.0;9494;9456.0;9541.0;0
9627;0.0;0.0;0.0;9622;9584.0;9669.0;0
9663;2.0;61.0;6.0;9658;;;0
9691;2.0;63.0;6.0;9689;;;0
9755;0.0;0.0;0.0;9750;9712.0;9796.0;0
9791;2.0;60.0;6.0;9786;;;0
9880;0.0;4.0;0.0;9875;9838.0;9922.0;0
9917;2.0;61.0;6.0;9912;;;0
9952;2.0;62.0;6.0;9950;;;0
10008;0.0;4.0;0.0;10004;9965.0;10051.0;0
10045;2.0;60.0;6.0;10040;;;0
10138;0.0;3.0;0.0;10133;10094.0;10179.0;0
10175;2.0;60.0;6.0;10170;;;0
